title,type,year,years_ago,years_from_beginning,feet_from_beginning,years_from_today_CALC,years_from_beginning_CALC,feet_from_start_CALC,feet_from_last_CALC,miles_from_start_CALC,reference
oldest pottery known - china,point,,18000,,,"18,000.00","5,982,000.00",3834.6,4.5,0.73,https://en.wikipedia.org/wiki/Chinese_ceramics#Early_wares
humans cross the bering strait,point,,15000,,,"15,000.00","5,985,000.00",3836.5,1.9,0.73,
earliest signs of humans starting sedentary lifestyle,point,,12000,,,"12,000.00","5,988,000.00",3838.5,1.9,0.73,https://en.wikipedia.org/wiki/Cradle_of_civilization#Rise_of_civilization
humans migrate to north america,point,,12000,,,"12,000.00","5,988,000.00",3838.5,0.0,0.73,
earliest evidence for proto-writing (visible marks communicating limited information),point,,7000,,,"7,000.00","5,993,000.00",3841.7,3.2,0.73,
moment of creation - judaism,point,-3760,,,,"5,780.00","5,994,220.00",3842.4,0.8,0.73,
"first urban city with full-time bureaucracy: uruk, fertile crescent",point,,4000,,,"4,000.00","5,996,000.00",3843.6,1.1,0.73,https://en.wikipedia.org/wiki/Uruk
bronze age,point,,3300,,,"3,300.00","5,996,700.00",3844.0,0.4,0.73,
first egyptian dynasty,point,,3150,,,"3,150.00","5,996,850.00",3844.1,0.1,0.73,
first verified writing - cuneiform,point,,3100,,,"3,100.00","5,996,900.00",3844.2,0.0,0.73,https://en.wikipedia.org/wiki/Cuneiform#History
iron age,point,,2500,,,"2,500.00","5,997,500.00",3844.6,0.4,0.73,
birth of buddha,point,-480,,,,"2,500.00","5,997,500.00",3844.6,0.0,0.73,https://en.wikipedia.org/wiki/Gautama_Buddha
birth of jesus christ,point,0,,,,"2,020.00","5,997,980.00",3844.9,0.3,0.73,
birth of muhammed,point,570,,,,"1,450.00","5,998,550.00",3845.2,0.4,0.73,
on the origin of species - charles darwin,point,1859,,,,161.00,"5,999,839.00",3846.1,0.8,0.73,
today,point,2020,,,,0.00,"6,000,000.00",3846.2,0.1,0.73,
